% 1. Title: Glass Identification Database
% 
% 2. Sources:
%     (a) Creator: B. German
%         -- Central Research Establishment
%            Home Office Forensic Science Service
%            Aldermaston, Reading, Berkshire RG7 4PN
%     (b) Donor: Vina Spiehler, Ph.D., DABFT
%                Diagnostic Products Corporation
%                (213) 776-0180 (ext 3014)
%     (c) Date: September, 1987
% 
% 3. Past Usage:
%     -- Rule Induction in Forensic Science
%        -- Ian W. Evett and Ernest J. Spiehler
%        -- Central Research Establishment
%           Home Office Forensic Science Service
%           Aldermaston, Reading, Berkshire RG7 4PN
%        -- Unknown technical note number (sorry, not listed here)
%        -- General Results: nearest neighbor held its own with respect to the
%              rule-based system
% 
% 4. Relevant Information:n
%       Vina conducted a comparison test of her rule-based system, BEAGLE, the
%       nearest-neighbor algorithm, and discriminant analysis.  BEAGLE is 
%       a product available through VRS Consulting, Inc.; 4676 Admiralty Way,
%       Suite 206; Marina Del Ray, CA 90292 (213) 827-7890 and FAX: -3189.
%       In determining whether the glass was a type of "float" glass or not,
%       the following results were obtained (# incorrect answers):
% 
%              Type of Sample                            Beagle   NN    DA
%              Windows that were float processed (87)     10      12    21
%              Windows that were not:            (76)     19      16    22
% 
%       The study of classification of types of glass was motivated by 
%       criminological investigation.  At the scene of the crime, the glass left
%       can be used as evidence...if it is correctly identified!
% 
% 5. Number of Instances: 214
% 
% 6. Number of Attributes: 10 (including an Id#) plus the class attribute
%    -- all attributes are continuously valued
% 
% 7. Attribute Information:
%    1. Id number: 1 to 214
%    2. RI: refractive index
%    3. Na: Sodium (unit measurement: weight percent in corresponding oxide, as 
%                   are attributes 4-10)
%    4. Mg: Magnesium
%    5. Al: Aluminum
%    6. Si: Silicon
%    7. K: Potassium
%    8. Ca: Calcium
%    9. Ba: Barium
%   10. Fe: Iron
%   11. Type of glass: (class attribute)
%       -- 1 building_windows_float_processed
%       -- 2 building_windows_non_float_processed
%       -- 3 vehicle_windows_float_processed
%       -- 4 vehicle_windows_non_float_processed (none in this database)
%       -- 5 containers
%       -- 6 tableware
%       -- 7 headlamps
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
% Attribute:   Min     Max      Mean     SD      Correlation with class
%  2. RI:       1.5112  1.5339   1.5184  0.0030  -0.1642
%  3. Na:      10.73   17.38    13.4079  0.8166   0.5030
%  4. Mg:       0       4.49     2.6845  1.4424  -0.7447
%  5. Al:       0.29    3.5      1.4449  0.4993   0.5988
%  6. Si:      69.81   75.41    72.6509  0.7745   0.1515
%  7. K:        0       6.21     0.4971  0.6522  -0.0100
%  8. Ca:       5.43   16.19     8.9570  1.4232   0.0007
%  9. Ba:       0       3.15     0.1750  0.4972   0.5751
% 10. Fe:       0       0.51     0.0570  0.0974  -0.1879
% 
% 9. Class Distribution: (out of 214 total instances)
%     -- 163 Window glass (building windows and vehicle windows)
%        -- 87 float processed  
%           -- 70 building windows
%           -- 17 vehicle windows
%        -- 76 non-float processed
%           -- 76 building windows
%           -- 0 vehicle windows
%     -- 51 Non-window glass
%        -- 13 containers
%        -- 9 tableware
%        -- 29 headlamps
% 
% 
% 
%
%
%
%
% Relabeled values in attribute 'Type'
%    From: '1'                     To: 'build wind float'    
%    From: '2'                     To: 'build wind non-float'
%    From: '3'                     To: 'vehic wind float'    
%    From: '4'                     To: 'vehic wind non-float'
%    From: '5'                     To: containers          
%    From: '6'                     To: tableware           
%    From: '7'                     To: headlamps           
%
@relation Glass
@attribute 'one' numeric
@attribute 'two' numeric
@attribute 'three' numeric
@attribute 'four' numeric
@attribute 'Type' { buildwindfloat, buildwindnon-float, vehicwindfloat, vehicwindnon-float, containers, tableware, headlamps}
@data
-0.516470,0.287653,-0.448014,0.610466,buildwindfloat
-0.512585,0.284204,-0.443741,0.605377,vehicwindfloat
-0.515775,0.283837,-0.448798,0.609458,buildwindfloat
-0.516926,0.276307,-0.448872,0.606749,tableware
-0.526503,0.349056,-0.441905,0.616877,buildwindnon-float
-0.518012,0.287743,-0.448096,0.610866,buildwindnon-float
-0.516273,0.288504,-0.448923,0.611623,vehicwindfloat
-0.516688,0.289401,-0.447459,0.609300,buildwindfloat
-0.521032,0.287743,-0.448354,0.607560,headlamps
-0.516396,0.284114,-0.450027,0.611779,buildwindnon-float
-0.515809,0.281830,-0.449417,0.609655,buildwindnon-float
-0.517490,0.289339,-0.446920,0.611105,buildwindnon-float
-0.517156,0.297434,-0.448319,0.613013,buildwindfloat
-0.516313,0.293813,-0.449596,0.612561,vehicwindfloat
-0.517138,0.283392,-0.450028,0.610845,vehicwindfloat
-0.515714,0.279709,-0.449958,0.609077,buildwindnon-float
-0.518462,0.282894,-0.448048,0.606836,headlamps
-0.515903,0.282807,-0.447726,0.608776,buildwindnon-float
-0.522097,0.308062,-0.445002,0.609162,containers
-0.516767,0.287226,-0.447810,0.609507,buildwindnon-float
-0.517689,0.296253,-0.448426,0.613383,buildwindfloat
-0.524670,0.325224,-0.442100,0.612331,buildwindnon-float
-0.516348,0.288729,-0.448644,0.611480,buildwindnon-float
-0.516313,0.282950,-0.449952,0.610951,buildwindfloat
-0.520172,0.294153,-0.447860,0.610787,containers
-0.516124,0.280704,-0.449227,0.609660,buildwindnon-float
-0.515952,0.279987,-0.448948,0.608857,buildwindnon-float
-0.518682,0.283137,-0.447759,0.606940,headlamps
-0.515482,0.281031,-0.448979,0.609070,buildwindnon-float
-0.515537,0.282959,-0.448962,0.609400,vehicwindfloat
-0.516190,0.280619,-0.449067,0.609511,buildwindnon-float
-0.517070,0.288364,-0.449503,0.610790,vehicwindfloat
-0.515139,0.267569,-0.450516,0.603003,tableware
-0.514814,0.279950,-0.449298,0.608522,buildwindnon-float
-0.517085,0.284366,-0.449584,0.611344,buildwindfloat
-0.516762,0.281694,-0.448918,0.610371,buildwindfloat
-0.516710,0.281319,-0.449375,0.610689,buildwindfloat
-0.516393,0.290701,-0.445495,0.607932,buildwindnon-float
-0.517033,0.282962,-0.449399,0.611158,buildwindnon-float
-0.515439,0.271539,-0.452262,0.607543,buildwindnon-float
-0.516628,0.286695,-0.448229,0.610312,buildwindfloat
-0.516560,0.284433,-0.449355,0.611506,buildwindnon-float
-0.514782,0.280390,-0.448118,0.608147,buildwindnon-float
-0.515890,0.282053,-0.448613,0.609111,buildwindnon-float
-0.516602,0.287985,-0.449343,0.612259,vehicwindfloat
-0.516128,0.286415,-0.447482,0.609699,buildwindfloat
-0.513187,0.259241,-0.453087,0.605073,containers
-0.514458,0.281827,-0.448199,0.608489,buildwindfloat
-0.515990,0.284737,-0.448555,0.609797,buildwindfloat
-0.515902,0.285004,-0.448958,0.610373,buildwindnon-float
-0.517547,0.286146,-0.448626,0.611251,buildwindfloat
-0.516299,0.284325,-0.449314,0.611154,buildwindnon-float
-0.515838,0.282246,-0.449256,0.610017,buildwindfloat
-0.515555,0.279118,-0.449171,0.609035,buildwindnon-float
-0.520982,0.290326,-0.448478,0.607565,headlamps
-0.517434,0.284281,-0.449974,0.611243,buildwindfloat
-0.518146,0.292548,-0.451725,0.610028,headlamps
-0.516566,0.291407,-0.449239,0.611611,buildwindfloat
-0.516186,0.285184,-0.449556,0.610979,vehicwindfloat
-0.515321,0.282399,-0.449678,0.610070,buildwindnon-float
-0.515682,0.282464,-0.450498,0.611213,buildwindnon-float
-0.516205,0.286475,-0.449301,0.610945,buildwindfloat
-0.516021,0.285270,-0.448822,0.609960,buildwindfloat
