
---	Treino para o 0-fold	---
Max epochs   150000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.0626953766. Bit fail 70.
Epochs          100. Current error: 0.0020695103. Bit fail 0.
Epochs          200. Current error: 0.0019454731. Bit fail 0.
Epochs          300. Current error: 0.0018810679. Bit fail 0.
Epochs          400. Current error: 0.0018529313. Bit fail 0.
Epochs          500. Current error: 0.0018337037. Bit fail 0.
Epochs          600. Current error: 0.0018292934. Bit fail 0.
Epochs          700. Current error: 0.0018263160. Bit fail 0.
Epochs          800. Current error: 0.0018264698. Bit fail 0.
Epochs          900. Current error: 0.0018253499. Bit fail 0.
Epochs         1000. Current error: 0.0018242705. Bit fail 0.
Epochs         1100. Current error: 0.0018228188. Bit fail 0.
Epochs         1200. Current error: 0.0018217436. Bit fail 0.
Epochs         1300. Current error: 0.0018202146. Bit fail 0.
Epochs         1400. Current error: 0.0018189874. Bit fail 0.
Epochs         1500. Current error: 0.0018179527. Bit fail 0.
Epochs         1600. Current error: 0.0018168711. Bit fail 0.
Epochs         1700. Current error: 0.0018162497. Bit fail 0.
Epochs         1800. Current error: 0.0018152453. Bit fail 0.
Epochs         1900. Current error: 0.0018141153. Bit fail 0.
Epochs         2000. Current error: 0.0018132159. Bit fail 0.
Epochs         2100. Current error: 0.0018124882. Bit fail 0.
Epochs         2200. Current error: 0.0018114946. Bit fail 0.
Epochs         2300. Current error: 0.0018098957. Bit fail 0.
Epochs         2400. Current error: 0.0018090479. Bit fail 0.
Epochs         2500. Current error: 0.0018082411. Bit fail 0.
Epochs         2600. Current error: 0.0018075748. Bit fail 0.
Epochs         2700. Current error: 0.0018066778. Bit fail 0.
Epochs         2800. Current error: 0.0018055905. Bit fail 0.
Epochs         2900. Current error: 0.0018045316. Bit fail 0.
Epochs         3000. Current error: 0.0018031925. Bit fail 0.
Epochs         3100. Current error: 0.0018022733. Bit fail 0.
Epochs         3200. Current error: 0.0018009986. Bit fail 0.
Epochs         3300. Current error: 0.0017999377. Bit fail 0.
Epochs         3400. Current error: 0.0017990270. Bit fail 0.
Epochs         3500. Current error: 0.0017978579. Bit fail 0.
Epochs         3600. Current error: 0.0017969558. Bit fail 0.
Epochs         3700. Current error: 0.0017956897. Bit fail 0.
Epochs         3800. Current error: 0.0017947297. Bit fail 0.
Epochs         3900. Current error: 0.0017939247. Bit fail 0.
